# parameters:
#  num_nodes=4, num_iters=1000, seed=10000
# columns:
#  average_phase   inverse_cos_estimate   mle_estimate
#
2.3524877504609805 2.157344782646309 2.1574887548527903
2.3524877504609805 2.157344782646309 2.1574887548527903
2.3524877504609805 2.1762681586861907 2.1763383107743293
2.3524877504609805 2.1518034036291085 2.1519909677090086
2.3524877504609805 2.1680758961515108 2.1676989309769574
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.150436067158601 2.1504201713822133
2.3524877504609805 2.1545593743935862 2.1543471621992007
2.3524877504609805 2.160160949679565 2.1598449493429825
2.3524877504609805 2.168808629606667 2.168484329140355
2.3524877504609805 2.1717629980790325 2.1716259217939444
2.3524877504609805 2.160160949679565 2.1598449493429825
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.1666172619962656 2.1669135328135596
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.1552529165474246 2.155132560362598
2.3524877504609805 2.1710208326939506 2.170840523630547
2.3524877504609805 2.1680758961515108 2.1676989309769574
2.3524877504609805 2.1740042095423786 2.1739821162841366
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.1637265731469206 2.16377194015997
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.162294106043383 2.162201143833175
2.3524877504609805 2.1762681586861907 2.1763383107743293
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.1443664231876953 2.1441369860750337
2.3524877504609805 2.1511188636664924 2.1512055695456107
2.3524877504609805 2.1644459882268783 2.1645573383233674
2.3524877504609805 2.150436067158601 2.1504201713822133
2.3524877504609805 2.1666172619962656 2.1669135328135596
2.3524877504609805 2.1695436777647767 2.1692697273037522
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1497549957969673 2.149634773218816
2.3524877504609805 2.1695436777647767 2.1692697273037522
2.3524877504609805 2.1470476053569603 2.1472785787286237
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.1680758961515108 2.1676989309769574
2.3524877504609805 2.162294106043383 2.162201143833175
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.157344782646309 2.1574887548527903
2.3524877504609805 2.1651675576274543 2.165342736486765
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.1552529165474246 2.155132560362598
2.3524877504609805 2.1651675576274543 2.165342736486765
2.3524877504609805 2.1702810691171166 2.1700551254671496
2.3524877504609805 2.1384242627208567 2.1386391989312514
2.3524877504609805 2.152489705642355 2.1527763658724055
2.3524877504609805 2.172507595424607 2.172411319957342
2.3524877504609805 2.1559483182759567 2.1559179585259955
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.1666172619962656 2.1669135328135596
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.1710208326939506 2.170840523630547
2.3524877504609805 2.1651675576274543 2.165342736486765
2.3524877504609805 2.1651675576274543 2.165342736486765
2.3524877504609805 2.1470476053569603 2.1472785787286237
2.3524877504609805 2.1816442804002043 2.1818360979181115
2.3524877504609805 2.1559483182759567 2.1559179585259955
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.159453948705364 2.1598449493429825
2.3524877504609805 2.1740042095423786 2.1739821162841366
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.1732546554669363 2.1731967181207397
2.3524877504609805 2.1666172619962656 2.1669135328135596
2.3524877504609805 2.1559483182759567 2.1559179585259955
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.1552529165474246 2.155132560362598
2.3524877504609805 2.1666172619962656 2.1669135328135596
2.3524877504609805 2.1717629980790325 2.1716259217939444
2.3524877504609805 2.1497549957969673 2.149634773218816
2.3524877504609805 2.1747562896040344 2.1747675144475345
2.3524877504609805 2.1637265731469206 2.16377194015997
2.3524877504609805 2.159453948705364 2.1598449493429825
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.1552529165474246 2.155132560362598
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.1518034036291085 2.1519909677090086
2.3524877504609805 2.168808629606667 2.168484329140355
2.3524877504609805 2.1497549957969673 2.149634773218816
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.158748935299481 2.1590595511795856
2.3524877504609805 2.158748935299481 2.1590595511795856
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.152489705642355 2.1527763658724055
2.3524877504609805 2.1477219536857755 2.148063976892021
2.3524877504609805 2.1740042095423786 2.1739821162841366
2.3524877504609805 2.1644459882268783 2.1645573383233674
2.3524877504609805 2.1644459882268783 2.1645573383233674
2.3524877504609805 2.153867671680529 2.1535617640358033
2.3524877504609805 2.158748935299481 2.1590595511795856
2.3524877504609805 2.160160949679565 2.1598449493429825
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.1740042095423786 2.1739821162841366
2.3524877504609805 2.1518034036291085 2.1519909677090086
2.3524877504609805 2.1680758961515108 2.1676989309769574
2.3524877504609805 2.1511188636664924 2.1512055695456107
2.3524877504609805 2.1637265731469206 2.16377194015997
2.3524877504609805 2.1793236872475092 2.179479903427919
2.3524877504609805 2.1637265731469206 2.16377194015997
2.3524877504609805 2.172507595424607 2.172411319957342
2.3524877504609805 2.149075631554279 2.1488493750554185
2.3524877504609805 2.160160949679565 2.1598449493429825
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.172507595424607 2.172411319957342
2.3524877504609805 2.1702810691171166 2.1700551254671496
2.3524877504609805 2.1545593743935862 2.1543471621992007
2.3524877504609805 2.159453948705364 2.1598449493429825
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.1808679177542007 2.1810506997547137
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.1566456000422685 2.156703356689393
2.3524877504609805 2.152489705642355 2.1527763658724055
2.3524877504609805 2.180094399490227 2.1802653015913167
2.3524877504609805 2.157344782646309 2.1574887548527903
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.1680758961515108 2.1676989309769574
2.3524877504609805 2.1644459882268783 2.1645573383233674
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1559483182759567 2.1559179585259955
2.3524877504609805 2.172507595424607 2.172411319957342
2.3524877504609805 2.1511188636664924 2.1512055695456107
2.3524877504609805 2.1747562896040344 2.1747675144475345
2.3524877504609805 2.152489705642355 2.1527763658724055
2.3524877504609805 2.1615810051534403 2.161415745669778
2.3524877504609805 2.152489705642355 2.1527763658724055
2.3524877504609805 2.1637265731469206 2.16377194015997
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.158748935299481 2.1590595511795856
2.3524877504609805 2.1816442804002043 2.1818360979181115
2.3524877504609805 2.1566456000422685 2.156703356689393
2.3524877504609805 2.1545593743935862 2.1543471621992007
2.3524877504609805 2.1673454494330042 2.1676989309769574
2.3524877504609805 2.159453948705364 2.1598449493429825
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.159453948705364 2.1598449493429825
2.3524877504609805 2.1552529165474246 2.155132560362598
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1651675576274543 2.165342736486765
2.3524877504609805 2.152489705642355 2.1527763658724055
2.3524877504609805 2.1717629980790325 2.1716259217939444
2.3524877504609805 2.153867671680529 2.1535617640358033
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.1477219536857755 2.148063976892021
2.3524877504609805 2.159453948705364 2.1598449493429825
2.3524877504609805 2.160160949679565 2.1598449493429825
2.3524877504609805 2.168808629606667 2.168484329140355
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.153867671680529 2.1535617640358033
2.3524877504609805 2.1511188636664924 2.1512055695456107
2.3524877504609805 2.163009287301496 2.1629865419965726
2.3524877504609805 2.1651675576274543 2.165342736486765
2.3524877504609805 2.1644459882268783 2.1645573383233674
2.3524877504609805 2.160869960830164 2.1606303475063804
2.3524877504609805 2.153867671680529 2.1535617640358033
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.1580458872328157 2.1582741530161877
2.3524877504609805 2.1762681586861907 2.1763383107743293
2.3524877504609805 2.1740042095423786 2.1739821162841366
2.3524877504609805 2.1545593743935862 2.1543471621992007
2.3524877504609805 2.157344782646309 2.1574887548527903
2.3524877504609805 2.1658913068847268 2.1661281346501626
2.3524877504609805 2.168808629606667 2.168484329140355
2.3524877504609805 2.1559483182759567 2.1559179585259955
